Analysis,Markup type,Landmark,Definition,Refs,Norm mean,Norm SD
Hand-Wrist Analysis,Line,PP3 gap,Fusion gap distance between PP3 diaphysis and epiphysis.,"PP3-Gap-D,PP3-Gap-P",,
Hand-Wrist Analysis,Line,Radius gap,Fusion gap distance between radius diaphysis and epiphysis.,"Rad-Gap-P,Rad-Gap-D",,
Lateral Photo Analysis,Angle,Nasofrontal angle,"Angle between glabella, soft tissue nasion, and pronasale — assesses nasal root depth.","G',N',Prn",135,8
Lateral Photo Analysis,Angle,Nasolabial angle,"Angle between columella, subnasale, and labrale superius — assesses nasal/upper lip relationship.","Cm,Sn,Ls",100,10
Lateral Photo Analysis,Angle,Mentolabial angle,"Angle between labrale inferius, sublabiale, and soft tissue pogonion — assesses chin/lower lip contour.","Li,Si,Pog'",130,12
Lateral Photo Analysis,Angle,Facial convexity,"Angle between glabella, subnasale, and soft tissue pogonion — assesses overall profile convexity.","G',Sn,Pog'",170,5
Lateral Photo Analysis,Line,Nasal protrusion,Horizontal projection of the nose from subnasale to pronasale.,"Sn,Prn",,
Lateral Photo Analysis,Line,Upper lip height,Vertical height from subnasale to stomion superius.,"Sn,Stms",,
Lateral Photo Analysis,Line,Lower face height,Vertical height from subnasale to soft tissue menton.,"Sn,Me'",,
Lateral Photo Analysis,Perp,TVL to Prn,Perpendicular distance from pronasale to the true vertical line.,"TVL-sup,TVL-inf,Prn",,
Lateral Photo Analysis,Perp,TVL to Ls,Perpendicular distance from labrale superius to the true vertical line.,"TVL-sup,TVL-inf,Ls",,
Lateral Photo Analysis,Perp,TVL to Pog',Perpendicular distance from soft tissue pogonion to the true vertical line.,"TVL-sup,TVL-inf,Pog'",,
Lateral Photo Analysis,Perp,TVL to Sn,Perpendicular distance from subnasale to the true vertical line.,"TVL-sup,TVL-inf,Sn",,
Frontal Photo Analysis,Line,Intercanthal width,Distance between inner eye corners (endocanthion).,"En-R,En-L",30,3
Frontal Photo Analysis,Line,Biocular width,Distance between outer eye corners (exocanthion).,"Ex-R,Ex-L",90,5
Frontal Photo Analysis,Line,Nasal width,Distance between widest alar points.,"Al-R,Al-L",35,3
Frontal Photo Analysis,Line,Mouth width,Distance between mouth corners (cheilion).,"Ch-R,Ch-L",50,5
Frontal Photo Analysis,Line,Bizygomatic width,Facial width between most lateral zygomatic points.,"Zy-R,Zy-L",135,7
Frontal Photo Analysis,Line,Bigonial width,Mandibular width between gonial angles.,"Go-R,Go-L",95,8
Frontal Photo Analysis,Line,Cupid's bow width,Width of the upper lip vermilion between crista philtri points.,"Cph-R,Cph-L",12,2
Frontal Photo Analysis,Line,Upper face height,Forehead height from trichion to glabella.,"Tr,G'",,
Frontal Photo Analysis,Line,Midface height,Facial height from glabella to subnasale.,"G',Sn",55,5
Frontal Photo Analysis,Line,Lower face height,Facial height from subnasale to soft tissue menton.,"Sn,Me'",65,5
Frontal Photo Analysis,Line,Nasal height,Nasal length from nasion to subnasale.,"N',Sn",45,5
Frontal Photo Analysis,Ratio,Facial width/height ratio,Ratio of bizygomatic width to lower face height.,"Bizygomatic width,Lower face height",2.1,0.2
Merrifield Z-angle,Angle 4-pt,Z-angle,Angle between FH (Po-Or) and profile line from Pog' to the most protrusive lip (Li).,"Po,Or,Pog',Li",80,5
Bimler Analysis,Angle 4-pt,Facial angle,Angle between Frankfort horizontal and facial plane (N-Pog).,"Po,Or,N,Pog",87,3
Bimler Analysis,Angle,SNA,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
Bimler Analysis,Angle,SNB,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
Bimler Analysis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Bimler Analysis,Angle 4-pt,U1-NA,Angle between upper incisor axis and NA line.,"Ia,Is,N,A",22,5
Bimler Analysis,Angle 4-pt,L1-NB,Angle between lower incisor axis and NB line.,"Ii,Iia,N,B",25,5
Bimler Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Ia,Is,Ii,Iia",130,10
Tollaro Analysis,Distance,Anterior cranial base,Length of the anterior cranial base from Sella to Nasion.,"S,N",71,3
Tollaro Analysis,Distance,Posterior cranial base,Length of the posterior cranial base from Sella to Basion.,"S,Ba",44,4
Tollaro Analysis,Angle,Cranial base angle,Angle between Nasion-Sella-Basion.,"N,S,Ba",130,5
Tollaro Analysis,Angle,SNA,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
Tollaro Analysis,Angle,SNB,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
Tollaro Analysis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Tollaro Analysis,Angle,Facial axis,Angle between Basion-Nasion-Pogonion.,"Ba,N,Pog",60,3
Sassouni Frontal,Line,Cg-ANS,Mid-sagittal reference line from Crista galli to ANS.,"Cg,ANS",,
Sassouni Frontal,Distance,Lo-Lo width,Interorbital width between right and left latero-orbitale.,"Lo-R,Lo-L",70,3
Sassouni Frontal,Distance,Z-Z width,Bizygomatic width between right and left zygomaticofrontal sutures.,"Z-R,Z-L",95,4
Sassouni Frontal,Distance,J-J width,Bimaxillary width between right and left jugale points.,"J-R,J-L",65,3
Sassouni Frontal,Distance,Co-Co width,Bicondylar width between right and left condylion points.,"Co-R,Co-L",115,5
Sassouni Frontal,Distance,Ag-Ag width,Bigonial width between right and left antegonion points.,"Ag-R,Ag-L",90,4
Moorrees Mesh,Distance,Cranial width,Bizygomatic width between right and left zygomaticofrontal sutures.,"Z-R,Z-L",95,4
Moorrees Mesh,Distance,Maxillary width,Bimaxillary width between right and left jugale points.,"J-R,J-L",65,3
Moorrees Mesh,Distance,Condylar width,Bicondylar width between right and left condylion points.,"Co-R,Co-L",115,5
Moorrees Mesh,Distance,Antegonial width,Bigonial width between right and left antegonion points.,"Ag-R,Ag-L",90,4
Moorrees Mesh,Distance,Upper facial height,Facial height from Nasion to Anterior nasal spine.,"N,ANS",50,3
Moorrees Mesh,Distance,Lower facial height,Facial height from Anterior nasal spine to Menton.,"ANS,Me",65,4
Moorrees Mesh,Distance,Total facial height,Facial height from Nasion to Menton.,"N,Me",115,5
Moorrees Mesh,Ratio,Upper:lower facial ratio,Ratio of upper facial height to lower facial height.,"Upper facial height,Lower facial height",0.77,0.05
Moorrees Mesh,Ratio,Facial width/height ratio,Ratio of bizygomatic width to total facial height.,"Cranial width,Total facial height",0.83,0.05
Lautrou Analysis,Angle,SNA,"Angle between Sella, Nasion, and Point A","S,N,A",82,2
Lautrou Analysis,Angle,SNB,"Angle between Sella, Nasion, and Point B","S,N,B",80,2
Lautrou Analysis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Lautrou Analysis,Angle,Cranial base angle,Angle between Nasion-Sella-Basion.,"N,S,Ba",130,5
Lautrou Analysis,Angle,Articular angle,Angle between Sella-Articulare-Gonion.,"S,Ar,Go",143,6
Lautrou Analysis,Angle 4-pt,Facial angle,Angle between Frankfort horizontal and facial plane (N-Pog).,"Po,Or,N,Pog",87,3
Lautrou Analysis,Angle 4-pt,Mandibular plane angle,Angle between SN line and mandibular plane (Go-Me).,"S,N,Go,Me",32,4
Lautrou Analysis,Angle 4-pt,Y-axis,Angle between FH (Po-Or) and Y-axis (S-Gn).,"Po,Or,S,Gn",59,3
Lautrou Analysis,Angle 4-pt,Interincisal angle,Angle between upper and lower incisor axes.,"Ia,Is,Ii,Iia",130,10
Gugino Analysis,Angle,Cranial base deflection,Angle between Nasion-Sella-Basion.,"N,S,Ba",130,5
Gugino Analysis,Angle,Facial axis,Angle between Basion-Nasion-Pogonion.,"Ba,N,Pog",60,3
Gugino Analysis,Angle 4-pt,Facial depth,Angle between FH (Po-Or) and facial plane (N-Pog).,"Po,Or,N,Pog",87,3
Gugino Analysis,Angle 4-pt,Maxillary depth,Angle between FH (Po-Or) and NA line (N-A).,"Po,Or,N,A",90,3
Gugino Analysis,Angle 4-pt,Mandibular plane angle,Angle between FH (Po-Or) and mandibular plane (Go-Me).,"Po,Or,Go,Me",22,4
Gugino Analysis,Distance,Lower facial height,Anterior nasal spine to Menton distance.,"ANS,Me",65,4
Gugino Analysis,Perp,Convexity,Distance from Point A to the facial plane (N-Pog).,"N,Pog,A",2,2
Epker's Soft Tissue Analysis,Angle,Nasofrontal angle,Angle between glabella-soft tissue nasion-pronasale.,"G',N',Prn",135,8
Epker's Soft Tissue Analysis,Angle,Nasolabial angle,Angle between columella-subnasale-labrale superius.,"Cm,Sn,Ls",100,10
Epker's Soft Tissue Analysis,Angle,Mentolabial angle,Angle between labrale inferius-sublabiale-soft tissue pogonion.,"Li,Si,Pog'",130,12
Epker's Soft Tissue Analysis,Angle,Facial convexity,Angle between glabella-subnasale-soft tissue pogonion.,"G',Sn,Pog'",170,5
Epker's Soft Tissue Analysis,Perp,Upper lip protrusion,Perpendicular distance from upper lip to Sn-Pog' line.,"Sn,Pog',Ls",3,2
Epker's Soft Tissue Analysis,Perp,Lower lip protrusion,Perpendicular distance from lower lip to Sn-Pog' line.,"Sn,Pog',Li",2,2
Epker's Soft Tissue Analysis,Distance,Lower face height,Subnasale to soft tissue menton distance.,"Sn,Me'",50,4
Epker's Soft Tissue Analysis,Angle,Cervicomental angle,Angle between labrale inferius-pogonion-cervical point.,"Li,Pog',C",110,10
COGS Analysis,Angle 4-pt,Maxillary depth,Angle between FH (Po-Or) and NA line (N-A).,"Po,Or,N,A",90,3
COGS Analysis,Distance,Maxillary height,Nasion to Anterior nasal spine distance.,"N,ANS",55,3
COGS Analysis,Angle 4-pt,Mandibular depth,Angle between FH (Po-Or) and NB line (N-B).,"Po,Or,N,B",88,3
COGS Analysis,Distance,Mandibular body length,Gonion to Pogonion distance.,"Go,Pog",75,5
COGS Analysis,Distance,Ramus height,Articulare to Gonion distance.,"Ar,Go",50,4
COGS Analysis,Distance,Lower facial height,Anterior nasal spine to Menton distance.,"ANS,Me",65,4
COGS Analysis,Angle,Facial convexity,Angle between Point A-Nasion-Pogonion.,"A,N,Pog",2,4
COGS Analysis,Angle 4-pt,U1-NA,Angle between upper incisor axis and NA line.,"Ia,Is,N,A",22,5
COGS Analysis,Angle 4-pt,L1-NB,Angle between lower incisor axis and NB line.,"Ii,Iia,N,B",25,5
Basis,Angle,SNA,"Angle between Sella, Nasion, and Point A","s,N,A",82,2
Basis,Angle,SNB,"Angle between Sella, Nasion, and Point B","s,N,B",80,2
Basis,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Basis,Angle,Convexity,"Angle between Point A, Nasion, and Pogonion","A,N,Pog",0,5
Basis,Angle 4-pt,Interincisal,Angle between upper and lower incisor axes.,"Isi,Isa,Iii,Iia",135,5
Basis,Angle 4-pt,U1-SN,Angle between upper incisor axis and SN plane.,"Isi,Isa,s,N",105,5
Cagliari,Angle,SNA,"Angle between Sella, Nasion, and Point A","s,N,A",82,2
Cagliari,Angle,SNB,"Angle between Sella, Nasion, and Point B","s,N,B",80,2
Cagliari,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Cagliari,Angle,Convexity,"Angle between Point A, Nasion, and Pogonion","A,N,Pog",0,5
Cagliari,Angle 4-pt,SN-GoGn,Angle between SN plane and Go-Gn line.,"s,N,Go,Gn",32,4
Cagliari,Angle 4-pt,FMA,Angle between FH plane and mandibular plane.,"Po,Or,Go,Gn",22,4
Cagliari,Angle 4-pt,Interincisal,Angle between upper and lower incisor axes.,"Isi,Isa,Iii,Iia",135,5
Cagliari,Angle 4-pt,U1-SN,Angle between upper incisor axis and SN plane.,"Isi,Isa,s,N",105,5
Cagliari,Angle 4-pt,Occ plane-SN,Angle between occlusal plane and SN plane.,"APOcc,PPOcc,s,N",14,4
Cagliari,Angle 4-pt,Facial angle,Angle between FH plane and facial (N-Pog) plane.,"Po,Or,N,Pog",87,3
Cagliari,Angle 4-pt,Y-axis,Angle between s-Gn line and FH plane.,"s,Gn,Po,Or",59,3
Chieti,Angle,SNA,"Angle between Sella, Nasion, and Point A","s,N,A",82,2
Chieti,Angle,SNB,"Angle between Sella, Nasion, and Point B","s,N,B",80,2
Chieti,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
Chieti,Angle,Convexity,"Angle between Point A, Nasion, and Pogonion","A,N,Pog",0,5
Chieti,Angle 4-pt,SN-GoGn,Angle between SN plane and Go-Gn line.,"s,N,Go,Gn",32,4
Chieti,Angle 4-pt,FMA,Angle between FH plane and mandibular plane.,"Po,Or,Go,Gn",22,4
Chieti,Angle 4-pt,Interincisal,Angle between upper and lower incisor axes.,"Isi,Isa,Iii,Iia",135,5
Chieti,Angle 4-pt,U1-SN,Angle between upper incisor axis and SN plane.,"Isi,Isa,s,N",105,5
Chieti,Angle 4-pt,Occ plane-SN,Angle between occlusal plane and SN plane.,"APOcc,PPOcc,s,N",14,4
Chieti,Angle 4-pt,Facial angle,Angle between FH plane and facial (N-Pog) plane.,"Po,Or,N,Pog",87,3
Chieti,Angle 4-pt,Y-axis,Angle between s-Gn line and FH plane.,"s,Gn,Po,Or",59,3
McGann,Angle,SNA,"Angle between Sella, Nasion, and Point A","s,N,A",82,2
McGann,Angle,SNB,"Angle between Sella, Nasion, and Point B","s,N,B",80,2
McGann,Angle,ANB,"Angle between Point A, Nasion, and Point B","A,N,B",2,2
McGann,Angle,Convexity,"Angle between Point A, Nasion, and Pogonion","A,N,Pog",0,5
McGann,Angle 4-pt,SN-GoGn,Angle between SN plane and Go-Gn line.,"s,N,Go,Gn",32,4
McGann,Angle 4-pt,FMA,Angle between FH plane and mandibular plane.,"Po,Or,Go,Gn",22,4
McGann,Angle 4-pt,Interincisal,Angle between upper and lower incisor axes.,"Isi,Isa,Iii,Iia",135,5
McGann,Angle 4-pt,U1-SN,Angle between upper incisor axis and SN plane.,"Isi,Isa,s,N",105,5
McGann,Angle 4-pt,Occ plane-SN,Angle between occlusal plane and SN plane.,"APOcc,PPOcc,s,N",14,4
McGann,Angle 4-pt,Facial angle,Angle between FH plane and facial (N-Pog) plane.,"Po,Or,N,Pog",87,3
McGann,Angle 4-pt,Y-axis,Angle between s-Gn line and FH plane.,"s,Gn,Po,Or",59,3
General Analysis,Distance,Incisura width,Width between incisura mandibulae points.,"Inc-L,Inc-R",90,5
Airway Analysis,Polygon Area,Nasopharynx,Nasopharyngeal airway area enclosed by PNS-Ad1-Ad2-SP.,"PNS,Ad1,Ad2,SP",250,50
Airway Analysis,Polygon Area,Oropharynx,Oropharyngeal airway area enclosed by SP-Ad3-Vallecula-Epiglottis-UP.,"SP,Ad3,Vallecula,Epiglottis,UP",350,60
Airway Analysis,Polygon Area,Hypopharynx,Hypopharyngeal airway area enclosed by Vallecula-Epiglottis-PASbot-Ad4.,"Vallecula,Epiglottis,PASbot,Ad4",200,40
Airway Analysis,Distance,PNS-Ad1,Nasopharyngeal airway depth at PNS level.,"PNS,Ad1",15,3
Airway Analysis,Distance,SP-Ad2,Retropalatal airway depth at level of soft palate.,"SP,Ad2",11,3
Airway Analysis,Distance,Vallecula-Ad4,Hypopharyngeal airway depth at vallecula level.,"Vallecula,Ad4",20,5
Airway Analysis,Distance,Minimum PAS,Narrowest retropalatal airway dimension behind SP.,"SP,Ad3",10,3
Airway Analysis,Distance,PNS-Ad2,Nasopharyngeal airway depth at So level.,"PNS,Ad2",18,4
Airway Analysis,Distance,UP width,Width of nasopharynx at level of uvula posterior.,"UP,Ad3",12,4
Airway Analysis,Distance,LP width,Width of lower pharynx at C3-C4 level.,"LP,Ad4",18,5
Airway Analysis,Distance,McUP,Minimum cross-sectional width of upper pharynx retropalatal.,"SP,Ad3",10,3
Airway Analysis,Distance,McLP,Minimum cross-sectional width of lower pharynx retroglossal.,"Eb,PASbot",11,4
Airway Analysis,Distance,SPAS,Superior posterior airway space at soft palate tip level.,"SP,PASbot",10,3
Airway Analysis,Distance,MAS,Middle airway space at mid-oropharyngeal level.,"Vallecula,Ad4",15,4
Airway Analysis,Distance,IAS,Inferior airway space at hypopharyngeal level.,"Eb,Ad4",12,4
Airway Analysis,Distance,Vertical Airway Length,Vertical distance from PNS to base of epiglottis.,"PNS,Eb",70,10
Airway Analysis,Distance,Eb-PNS,Oblique airway length from base of epiglottis to PNS.,"Eb,PNS",65,10
Airway Analysis,Angle,Angle of Nasopharynx,Angle formed by nasopharyngeal airway walls PNS-Ad1-Ad2.,"PNS,Ad1,Ad2",140,10
Airway Analysis,Ratio,Adenoid/Nasopharynx Ratio,Ratio of adenoid thickness to nasopharyngeal depth.,"PNS-Ad1,PNS-Ad2",0.5,0.15
